CategoryCode,CategoryCodeDesc,CategoryShortDesc,CategoryLongDesc,CategoryType,TopCategory,
1,Page 1,,,A,N,
112W 1-1/2,"112W,212W140 1-1/2",,,A,N,
112W 1-1/4,"112W,212W140 1-1/4",,,A,N,
112W 1-3/4,"112W,212W140 1-3/4",,,A,N,
112W 11/32,"112W,212W140 11/32",,,A,N,
112W-1,"112W,212W140- 1"",,,A,N,
112W-1/2,"112W,212W140- 1/2",,,A,N,
112W-1/4,"112W,212W140- 1/4",,,A,N,
112W-3/16,"112W,212W140- 3/16",,,A,N,
112W-3/4,"112W,212W140- 3/4",,,A,N,
112W-3/8,"112W,212W140- 3/8",,,A,N,
112W-5/16,"112W,212W140- 5/16",,,A,N,
112W-5/8,"112W,212W140- 5/8",,,A,N,
112W-7/16,"112W,212W140- 7/16",,,A,N,
112W-7/8,"112W,212W140- 7/8",,,A,N,
112W-9/16,"112W,212W140- 9/16",,,A,N,
112W-9/32,"112W,212W140- 9/32",,,A,N,
2,Page 2,,,A,N,
3,Page 3,,,A,N,
4,page 4,,,A,N,
AD167,167,,,A,N,
AD67,67,,,A,N,
AD68,68,,,A,N,
ADH,* Adhesives & Cleaners,,,A,N,
ALPHASEW,Sewing Machine - Alphasew, ,,B,N,
AMBITION,"Ambition 1.0, 1.5, 2.0",,,A,N,
ATTACHMT,Sewing Attachment,* RUFFLERS* BUTTONHOLERS* ZIGZAGGERS* HEMMING & TRIMMING ATTACHMENTS (Side Cutters)* FANCY RINGER,,A,N,
B/C,BobbinCases & BobbinCaseParts,,,B,N,
B/C-B,Bernina,,,B,N,
B/C-BBL,BabyLock, ,,B,N,
B/C-BR,Brother,,,B,N,
B/C-E,Elna,,,B,N,
B/C-K,Kenmore,,,B,N,
B/C-N,Necchi,,,B,N,
B/C-NH,New Home,,,B,N,
B/C-P,Pfaff,,,B,N,
B/C-R,Riccar,,,B,N,
B/C-S,Singer,,,B,N,
B/C-V,Husqvarna (Viking),,,B,N,
B/C-W,White,,,B,N,
B/CP,* Bobbin Case Parts,,,B,N,
B/CP-BBL,"PositionBrackets- BBL, Brother",,,A,N,
B/CP-LATCH,"* Latches,Latch Springs, Pins",,,A,N,
B/CP-RET,"Fingers, Retainers",,,A,N,
B/CP-S,Position Brackets- Singer,,,A,N,
B/CP-SCREW,* Screw For Bobbin Case,* For Bobbin Case & Position Bracket,,A,N,
B/CP-SO,"PositionBrackets, And Springs","* Position Brackets - Elna, Viking, PfaffAnd Position Bracket Springs",,A,N,
B/CP-STOP,Bobbin Case Stoppers,,,A,N,
B/CP-TS,Bobbin Case Tension Springs,,,A,N,
B/WD,"Bobbin Winders, Rings & Parts","***  UNIVERSAL, AUTOMATIC BOBBIN WINDER ***",,B,N,
B/WD-B,Bernina,,,B,N,
B/WD-BR,Brother,,,B,N,
B/WD-E,Elna,,,B,N,
B/WD-K,Kenmore,,,B,N,
B/WD-NH,New Home,,,B,N,
B/WD-P,Pfaff,,,B,N,
B/WD-S,Singer,,,B,N,
B/WD-T,BabyLock,,,B,N,
B/WD-V,Husqvarna (Viking),,,B,N,
B/WD-W,White,,,B,N,
B/WP,* Bobbin Winder Parts,,"Included:   * Bobbin Winder Spindle, Latch, Lifter Bracket, Nut,   * Bobbin Winder Rods & Actuating Cams, Levers.   * Bobbin Winder Hubs, Tension Beds.   * Bobbin Winder Stoppers....   * Bobbin Winder Base, Lifter Bracket, ...",A,N,
B/WPGUIDE,Thread Tension Guides,,,A,N,
B/WT,* Bobbin Winder Tires, * Outside Diameter x Inside Diameter,,B,N,
B003,003,,,A,N,
B003D,003D,,,A,N,
B004,004,,,A,N,
B004D,004D,,,A,N,
B006D,006D,,,A,N,
B007,007,,,A,N,
B007D,007D,,,A,N,
B008,008,,,A,N,
B008D,008D,,,A,N,
B009D,009D,,,A,N,
B009DC,009DC,,,A,N,
B034,034,BERNETTE,,A,N,
B034D,034D,BERNETTE,,A,N,
B100,100,,,A,N,
B1000,1000,,,A,N,
B1000+,1000+,,,A,N,
B1001,1001,,,A,N,
B1004,1004,,,A,N,
B1005,1005,,,A,N,
B1006,1006,,,A,N,
B1008,1008,,,A,N,
B1010,1010,,,A,N,
B1011,1011,,,A,N,
B1015,1015,,,A,N,
B1020,1020,,,A,N,
B1030,1030,,,A,N,
B1031,1031,,,A,N,
B1070,1070,,,A,N,
B1080,1080,,,A,N,
B1090,1090,,,A,N,
B110,110,,,A,N,
B1100,1100,,,A,N,
B1100DA,1100DA,,,A,N,
B1100MDA,1100MDA,,,A,N,
B1120,1120,,,A,N,
B1130,1130,,,A,N,
B1150MDA,1150MDA,,,A,N,
B117,117,,,A,N,
B120,120,,,A,N,
B1200,1200,,,A,N,
B1200DA,1200DA,,,A,N,
B121,121,,,A,N,
B1230,1230,,,A,N,
B125,125,,,A,N,
B1260,1260,,,A,N,
B130,130,,,A,N,
B1300DC,1300DC,,,A,N,
B1300MDC,1300MDC,,,A,N,
B134,134,BERNETTE,,A,N,
B134D,134D,,,A,N,
B134DL,134DL ....  Bernette,,,A,N,
B135,135,,,A,N,
B140,140,,,A,N,
B145,145,,,A,N,
B150,150,,,A,N,
B153,153,,,A,N,
B1530,1530,,,A,N,
B155,155,,,A,N,
B160,160,,,A,N,
B163,163,,,A,N,
B1630,1630,,,A,N,
B165,165,,,A,N,
B170,170,,,A,N,
B180,180,,,A,N,
B185,185,,,A,N,
B190,190,,,A,N,
B200,200,,,A,N,
B2000,2000,,,A,N,
B2000D,2000D,,,A,N,
B2000DCE,2000DCE,,,A,N,
B2000DE,2000DE,,,A,N,
B203,203,,,A,N,
B204,204,,,A,N,
B210,210,,,A,N,
B215,215,,,A,N,
B217,217,,,A,N,
B220,220,,,A,N,
B230,230,,,A,N,
B230PE,230PE,,,A,N,
B234,234,Bernette,,A,N,
B2500DCE,2500DCE,,,A,N,
B320,320,,,A,N,
B330,330,,,A,N,
B334,334,,,A,N,
B334D,334D,,,A,N,
